INSTA Channel. One question Daily,,,,
Pattern,Question,Link 1,Link 2,Link 3
,Binary search basic,https://leetcode.com/problems/binary-search/,,
,Upper Bound/ Ceiling,https://www.geeksforgeeks.org/problems/ceil-in-a-sorted-array/1,,
,First and Last position,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,,
,Count number of occurences,https://www.geeksforgeeks.org/problems/number-of-occurrence2259/1,,
,Search in infinite Sorted array,https://www.geeksforgeeks.org/find-position-element-sorted-array-infinite-numbers/,,
,Peak index in Mountain,https://leetcode.com/problems/peak-index-in-a-mountain-array/,,
,Find peak in mountain range,https://leetcode.com/problems/find-peak-element/,,
,Find minimum in rotated sorted array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,,
,Find number of rotations to sorted array,https://www.geeksforgeeks.org/problems/rotation4723/1,,
,Search in rotated sorted array,https://leetcode.com/problems/search-in-rotated-sorted-array/description/,,
,KOKO eating BANANAS,https://leetcode.com/problems/koko-eating-bananas/,,
,Min num of days to make m bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,,
,Aggresive cows,https://www.geeksforgeeks.org/problems/aggressive-cows/1,,
,H index 2,https://leetcode.com/problems/h-index-ii/description/,,
,Max candies to k children,https://leetcode.com/problems/maximum-candies-allocated-to-k-children/description/,,
,Capacity to ship packages in d days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/description/,,
,Book Allocation Problem,https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1,,
,Split largest arrray,https://leetcode.com/problems/split-array-largest-sum/description/,,
,Search 2 D matrix,https://leetcode.com/problems/search-a-2d-matrix/,,
,Search 2D matrix (Hard),https://leetcode.com/problems/search-a-2d-matrix-ii/description/,,
,kth smallest in sorted matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description/,,
,kth smallest in multiplication matrix,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/description/,,
,median of 2 sorted arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,,
,HEAP PATTERN,,,
Kth ,kth smallest,https://www.geeksforgeeks.org/problems/kth-smallest-element5635/1,,
,kth largest,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,,
,TOP K frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/,,
,Top K frequent Words,https://leetcode.com/problems/top-k-frequent-words/description/,,
K closest,K closest points to origin,https://leetcode.com/problems/k-closest-points-to-origin/description/,,
,Find K closest elements,https://leetcode.com/problems/find-k-closest-elements/description/,,
,Kth weakest row in Matrix,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/description/,,
heap as pointer,Merge K Sorted Arrays,https://www.geeksforgeeks.org/problems/merge-k-sorted-arrays/1,,
,Kth Smallest in Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description/,,
GREEDY+heap,LAST STONE WEIGHT,https://leetcode.com/problems/last-stone-weight/description/,,
,CPU Task Scheduler,https://leetcode.com/problems/task-scheduler/description/,,
,Reorganize String,https://leetcode.com/problems/reorganize-string/,,
,Min number of refueling stops,https://leetcode.com/problems/minimum-number-of-refueling-stops/description/,,
,IPO,https://leetcode.com/problems/ipo/description/,,
,Course Scheduler 3,https://leetcode.com/problems/course-schedule-iii/description/,,
2 heaps,Find median in data stream,https://leetcode.com/problems/find-median-from-data-stream/description/,,
,Sliding Window Median (hard),https://leetcode.com/problems/sliding-window-median/description/,,
,Recursion and Backtracking Pattern,,,
,Fibonnaci,https://leetcode.com/problems/fibonacci-number/description/,https://www.youtube.com/watch?v=j4wjZqzhMqc&t,
,Check if string is Pallindrome,https://www.geeksforgeeks.org/problems/palindrome-string0817/1,https://www.youtube.com/watch?v=j4wjZqzhMqc&t,
